,,,,,,
#Envelope Detector Module Serial Numbers,,,,,,
%HDR,,,,,,n
EDM100 Tab,EDM101 Panel SN,Location,SLOT,NOTES,NOTES2,
Unit 1,SN# 12,RF4 Rack #1,6,,,
Unit 2,SN# 36,Test Stand Rack #7,2,,,
Unit 3,Unit 3,Test Stand Rack #7,4,,,
Ser.714,SN# 25,RF2 Rack #1,3,,,
Ser.716,SN# 05,Sector 37 Rack #6,5,,,
Ser.717,SN# 04,Sector 37 Rack #6,3,,,
Ser.718,SN# 09,401 for alignment,N/A,EDM gold boxes SN 9  10  11 & 12,Low gain ,
Ser.719,SN# 24,RF2 Rack #1,2,,,
Ser.720,SN# 03,401 for repair,2,EDM gold boxes SN 17  18  19 & 20,Failed Ch0&1  found -15V reg @-19V R&R both - & +15V reg  SN 18  19  20 gold box will not zero  R&R opamp,
Ser.721,SN# 14,RF3 Rack #1,3,,,
Ser.722,SN# 10,RF4 Rack #1,2,,,
Ser.723,SN# 06,Extraction Rack #6,2,,,
Ser.724,SN# 15,Booster RF Rack #1,3,,,
Ser.725,SN# 16,RF4 Rack #1,3,,,
Ser.728,SN# 29,Sector 38 Rack #6,5,,,
Ser.729,SN# 13,RF3 Rack #1,2,,,
Ser.731,SN# 27,Sector 38 Rack #6,3,,,
Ser.732,SN# 26,Sector 38 Rack #6,2,,,
Ser.733,SN# 34,Sector 40 Rack #6,3,,,
Ser.734,SN# 23,Sector 40 Rack #6,2,,,
Ser.735,SN# 21,Booster RF Rack #1,2,,,
Ser.736,SN# 17,Sector 40 Rack #6,5,,,
Ser.737,SN# 37,Sector 36 Rack #6,3,,,
Ser.738,SN# 07,Sector 36 Rack #6,2,,,
Ser.739,SN# 30,Sector 36 Rack #6,5,,,
Ser.740,SN# 38,Sector 36 Rack #6,4,,,
Ser.742 *,SN# 02,Sector 37 Rack #6,4,EDM gold boxes SN 5  6  7 & 8,,
Ser.742 *,SN# 18,RF1 Rack #1,2,,,
Ser.743,SN# 08,RF1 Rack #1,3,,,
Ser.743,SN# 35,Sector 40 Rack #6,4,,,
Ser.744,SN# 31,RF3 Rack #1,6,,,
Ser.745,SN# 32,Extraction Rack #6,3,,,
Ser.746,SN# 19,Sector 38 Rack #6,4,,,
Ser.747,SN# 33,420 Spares,N/A,,,
Ser.748,SN# 22,Injection Rack # 6,2,,,
Ser.749,SN# 28,Source A014 Rack #9,1,,,
Ser.755,Ser.755,Test Stand Rack #6,2,,,
Ser.756,Ser.756,Test Stand Rack #6,3,,,
Ser.757,Ser.757,Injection Rack # 6,3,EDM gold boxes SN 1  2  3 & 4,,
Ser.758,Ser.758,Sector 37 Rack #6,2,EDM gold boxes SN 13  14  15 & 16,,
Ser.759,Ser.759,?,N/A,,,
,,,,,,
,,,,,,
#,,                    We have a Total of 32 Modules in System ,,,,
#,, We have a Total of 4 fully assembled spare Modules in use  ,,,,
#,, We have 3 Modules on the second floor with no gold boxes in them ,,,,
#,, We have 1 Module in need of repair on the digital side of the module. ,,,,
